epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5057.05,1.14611,0.51737,1.26733,0.97088,0.93838,0.96924,0.63666,1.29178,0.48359,1.26103,0.005842,0.005842,0.005842
44,5169.94,1.14637,0.5209,1.26832,0.97211,0.93574,0.9691,0.63722,1.29018,0.48305,1.25912,0.005743,0.005743,0.005743
45,5281.16,1.14395,0.51511,1.26713,0.97086,0.93747,0.9697,0.63841,1.29036,0.48114,1.25886,0.005644,0.005644,0.005644
46,5391.71,1.13518,0.50684,1.25846,0.97069,0.93668,0.96907,0.63911,1.28759,0.48003,1.25677,0.005545,0.005545,0.005545
47,5500.95,1.13852,0.50976,1.2603,0.97036,0.93668,0.97001,0.63983,1.28716,0.47932,1.25676,0.005446,0.005446,0.005446
48,5613.74,1.1256,0.50417,1.25071,0.97179,0.93699,0.97032,0.64096,1.28661,0.47781,1.25592,0.005347,0.005347,0.005347
49,5733.89,1.12933,0.49878,1.25397,0.97183,0.93841,0.97066,0.64241,1.28502,0.47655,1.25558,0.005248,0.005248,0.005248
50,5854.52,1.12269,0.49579,1.25123,0.97122,0.93809,0.96942,0.6435,1.28338,0.4756,1.25504,0.005149,0.005149,0.005149
51,5972.31,1.1234,0.4942,1.24782,0.97082,0.93715,0.96971,0.64473,1.28262,0.47511,1.25442,0.00505,0.00505,0.00505
52,6092.92,1.11835,0.49175,1.24544,0.97121,0.93621,0.97012,0.6444,1.28266,0.47404,1.25448,0.004951,0.004951,0.004951
53,6216.58,1.11335,0.48768,1.24028,0.97036,0.93677,0.96998,0.64534,1.28081,0.47413,1.25339,0.004852,0.004852,0.004852
54,6342.59,1.11646,0.48428,1.2398,0.96992,0.93782,0.97064,0.64554,1.27975,0.47306,1.25285,0.004753,0.004753,0.004753
55,6466.25,1.10183,0.48074,1.23306,0.97038,0.93748,0.97079,0.64538,1.27906,0.47185,1.25256,0.004654,0.004654,0.004654
56,6587.73,1.10831,0.47795,1.23543,0.97269,0.93539,0.97093,0.64576,1.27908,0.47168,1.25243,0.004555,0.004555,0.004555
57,6705.79,1.10499,0.47902,1.23104,0.96479,0.94137,0.9712,0.64663,1.27799,0.47163,1.25179,0.004456,0.004456,0.004456
58,6829.95,1.09847,0.47519,1.22838,0.96949,0.93911,0.97085,0.64636,1.2777,0.47097,1.25128,0.004357,0.004357,0.004357
59,6957.62,1.10102,0.4744,1.23154,0.96881,0.93996,0.97095,0.6468,1.27783,0.47103,1.25146,0.004258,0.004258,0.004258
60,7079.52,1.08965,0.46654,1.21839,0.96856,0.93927,0.97122,0.64593,1.27775,0.47064,1.25137,0.004159,0.004159,0.004159
61,7193.02,1.09158,0.46584,1.22091,0.96857,0.93939,0.97191,0.64638,1.27725,0.47025,1.25137,0.00406,0.00406,0.00406
62,7305.56,1.09013,0.46578,1.21712,0.96809,0.93902,0.9721,0.64643,1.27749,0.46966,1.25146,0.003961,0.003961,0.003961
63,7431.07,1.0817,0.46073,1.21567,0.96506,0.94325,0.9723,0.6465,1.27716,0.46957,1.25115,0.003862,0.003862,0.003862
64,7558.11,1.07843,0.4585,1.21489,0.96771,0.94187,0.97182,0.64633,1.27637,0.46879,1.25058,0.003763,0.003763,0.003763
65,7675.82,1.07813,0.45938,1.20959,0.97214,0.93902,0.97159,0.64681,1.2756,0.46792,1.24999,0.003664,0.003664,0.003664
66,7792.37,1.07076,0.45184,1.20805,0.97186,0.9395,0.97094,0.64682,1.27512,0.46731,1.24984,0.003565,0.003565,0.003565
67,7911.28,1.0698,0.45153,1.20488,0.97321,0.93726,0.97152,0.64722,1.27483,0.46702,1.24952,0.003466,0.003466,0.003466
68,8031.18,1.06898,0.45413,1.20247,0.97238,0.94111,0.97168,0.64738,1.27431,0.46609,1.24911,0.003367,0.003367,0.003367
69,8153.62,1.06505,0.44773,1.2015,0.97421,0.93809,0.97178,0.64707,1.27479,0.46547,1.24937,0.003268,0.003268,0.003268
70,8277.38,1.06071,0.44956,1.19572,0.97373,0.93886,0.97197,0.64793,1.27447,0.46458,1.24909,0.003169,0.003169,0.003169
71,8398.26,1.05661,0.44057,1.19337,0.97289,0.93949,0.97205,0.64771,1.27439,0.46381,1.24912,0.00307,0.00307,0.00307
72,8520.36,1.05381,0.43887,1.19244,0.97234,0.93984,0.97167,0.64759,1.27413,0.46327,1.24893,0.002971,0.002971,0.002971
73,8640.61,1.05062,0.43681,1.19318,0.97235,0.94006,0.97217,0.64907,1.27364,0.46264,1.24866,0.002872,0.002872,0.002872
74,8762.44,1.04041,0.4329,1.18474,0.97282,0.94015,0.97222,0.64872,1.27329,0.46186,1.24836,0.002773,0.002773,0.002773
75,8881.75,1.03796,0.42689,1.1821,0.97252,0.93949,0.97231,0.64957,1.27311,0.46148,1.24808,0.002674,0.002674,0.002674
76,9004.33,1.03498,0.42557,1.17602,0.97279,0.94137,0.97246,0.65035,1.27269,0.46046,1.24769,0.002575,0.002575,0.002575
77,9121.65,1.03019,0.42599,1.17698,0.97195,0.94137,0.97244,0.65054,1.27221,0.45967,1.24742,0.002476,0.002476,0.002476
78,9235.77,1.02657,0.41946,1.17633,0.97172,0.9409,0.97213,0.64997,1.2713,0.45918,1.24706,0.002377,0.002377,0.002377
79,9346.54,1.02773,0.42017,1.17491,0.97191,0.9409,0.97215,0.65072,1.27099,0.45879,1.24698,0.002278,0.002278,0.002278
80,9457.1,1.01823,0.41531,1.16752,0.97285,0.94043,0.97218,0.65155,1.27065,0.45794,1.24663,0.002179,0.002179,0.002179
81,9566.22,1.01401,0.41236,1.16558,0.97202,0.9409,0.97202,0.65095,1.27024,0.45756,1.24627,0.00208,0.00208,0.00208
82,9675.83,1.01432,0.41051,1.16288,0.97053,0.94184,0.97132,0.65158,1.2696,0.45719,1.24574,0.001981,0.001981,0.001981
83,9785.04,1.00351,0.40809,1.15844,0.97484,0.9409,0.97248,0.652,1.26928,0.45612,1.2454,0.001882,0.001882,0.001882
84,9895.01,0.99967,0.40498,1.15728,0.97486,0.93996,0.97153,0.6528,1.26879,0.4552,1.24487,0.001783,0.001783,0.001783
85,10003.5,0.99476,0.40212,1.15248,0.97575,0.94043,0.97169,0.65291,1.26839,0.45409,1.24459,0.001684,0.001684,0.001684
86,10111.7,0.99185,0.40012,1.1515,0.9785,0.93906,0.97217,0.65336,1.26779,0.45343,1.24401,0.001585,0.001585,0.001585
87,10218.4,0.98822,0.39804,1.14766,0.97899,0.93959,0.97227,0.65296,1.26728,0.45299,1.24353,0.001486,0.001486,0.001486
