epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1225.88,1.07988,0.52165,1.0634,0.97406,0.92893,0.96491,0.68841,1.07162,0.45699,1.06284,0.00979705,0.00979705,0.00979705
43,1253.85,1.08419,0.51157,1.06337,0.98399,0.92381,0.9663,0.68644,1.08978,0.45148,1.07632,0.0097921,0.0097921,0.0097921
44,1281.9,1.07054,0.50784,1.05868,0.97687,0.92358,0.96353,0.6775,1.08142,0.4471,1.06197,0.00978715,0.00978715,0.00978715
45,1309.95,1.07888,0.50936,1.06434,0.97636,0.93941,0.96555,0.69409,1.07962,0.44104,1.06186,0.0097822,0.0097822,0.0097822
46,1337.93,1.07048,0.50284,1.06267,0.98347,0.9303,0.96493,0.6845,1.09362,0.45526,1.08704,0.00977725,0.00977725,0.00977725
47,1365.93,1.06711,0.50233,1.06274,0.97665,0.93383,0.96392,0.6848,1.09509,0.43927,1.07376,0.0097723,0.0097723,0.0097723
48,1394.02,1.06313,0.50187,1.05469,0.96563,0.94123,0.96377,0.68327,1.08451,0.44662,1.06376,0.00976735,0.00976735,0.00976735
49,1422.12,1.06823,0.50211,1.05217,0.98542,0.9303,0.96947,0.6818,1.08282,0.44048,1.0637,0.0097624,0.0097624,0.0097624
50,1450.11,1.06978,0.50433,1.06005,0.97942,0.93218,0.96841,0.69158,1.07971,0.43587,1.06667,0.00975745,0.00975745,0.00975745
51,1477.98,1.0734,0.50242,1.06219,0.98134,0.93531,0.96867,0.7028,1.06775,0.43492,1.06444,0.0097525,0.0097525,0.0097525
52,1506.11,1.06857,0.50595,1.05162,0.97818,0.93965,0.96959,0.69172,1.06783,0.43331,1.05471,0.00974755,0.00974755,0.00974755
53,1534.41,1.06279,0.49872,1.05418,0.98225,0.93276,0.96486,0.69322,1.06973,0.44496,1.06104,0.0097426,0.0097426,0.0097426
54,1562.39,1.06679,0.49693,1.0507,0.98317,0.93148,0.96574,0.69221,1.0736,0.4419,1.05676,0.00973765,0.00973765,0.00973765
55,1590.5,1.06395,0.4965,1.05005,0.9851,0.93343,0.97081,0.7,1.07837,0.42666,1.05399,0.0097327,0.0097327,0.0097327
56,1618.42,1.05851,0.49446,1.04728,0.97553,0.94305,0.96982,0.68505,1.08334,0.42809,1.05908,0.00972775,0.00972775,0.00972775
57,1646.36,1.05724,0.49153,1.04683,0.98229,0.94396,0.96911,0.68824,1.07764,0.42824,1.06117,0.0097228,0.0097228,0.0097228
58,1674.13,1.05743,0.48719,1.04992,0.97632,0.93903,0.96753,0.69153,1.07235,0.41997,1.05751,0.00971785,0.00971785,0.00971785
59,1702.05,1.04764,0.48624,1.044,0.98421,0.93735,0.96791,0.69162,1.07361,0.42443,1.05286,0.0097129,0.0097129,0.0097129
60,1729.94,1.06341,0.48942,1.04993,0.9751,0.9455,0.96955,0.69273,1.06842,0.4188,1.05551,0.00970795,0.00970795,0.00970795
61,1757.75,1.05088,0.49086,1.04248,0.98475,0.93576,0.96902,0.69562,1.06733,0.41834,1.04858,0.009703,0.009703,0.009703
62,1785.63,1.04743,0.48746,1.04406,0.97599,0.94305,0.97097,0.70464,1.06399,0.41582,1.0512,0.00969805,0.00969805,0.00969805
63,1813.65,1.05396,0.49106,1.04718,0.98157,0.93895,0.96968,0.69518,1.07051,0.42143,1.05737,0.0096931,0.0096931,0.0096931
64,1841.71,1.04674,0.47733,1.04658,0.98055,0.94183,0.97297,0.70271,1.053,0.41113,1.04724,0.00968815,0.00968815,0.00968815
65,1869.76,1.03979,0.48238,1.04146,0.98237,0.93929,0.97081,0.69637,1.05906,0.41371,1.04657,0.0096832,0.0096832,0.0096832
66,1897.8,1.04336,0.48414,1.04362,0.98352,0.94077,0.9721,0.70047,1.06452,0.41336,1.0479,0.00967825,0.00967825,0.00967825
67,1925.93,1.0389,0.48478,1.04645,0.98699,0.93713,0.97016,0.69542,1.08363,0.4105,1.06371,0.0096733,0.0096733,0.0096733
68,1953.86,1.04454,0.4825,1.03836,0.98147,0.94095,0.97046,0.70498,1.05274,0.40448,1.04444,0.00966835,0.00966835,0.00966835
69,1981.88,1.03487,0.47537,1.04097,0.98659,0.93986,0.9707,0.69905,1.06562,0.41042,1.05247,0.0096634,0.0096634,0.0096634
70,2009.86,1.04526,0.48225,1.04554,0.9815,0.94276,0.97131,0.70362,1.05293,0.4057,1.04646,0.00965845,0.00965845,0.00965845
71,2037.69,1.03818,0.48248,1.04267,0.98712,0.94275,0.97095,0.69869,1.05431,0.40627,1.04469,0.0096535,0.0096535,0.0096535
